Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Consciousness Without Report: Challenging the Global Workspace,,Liad Mudrik,,,,,,,,,,,2020,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Neuroscience of Mind,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Hebrew/English,4241,
Big Magic at Work,,Elizabeth Gilbert,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4242,
2025,,David Olusoga,,,,,,,,,,,2025,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4243,
The Heart of Centering Prayer,,Cynthia Bourgeault,,,,,,,,,,,2016,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4244,
The Portable Mark Twain,,Various,,,,,,,,,,,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4245,
Renaissance Women Poets,,Various,,,,,,,,,,,16,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry Collection,4246,
The Paradox of Choice (20th Anniversary Ed.),,Barry Schwartz,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4247,
"Cinema and Ireland: Gender, Nation and Diaspora",,Luke Gibbons,,,,,,,,,,,2019,,,,,,,,,,,,,,"Culture, Language & Anthropology",Developmental & Social Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4248,
"One Day, Everyone Will Have Always Been Against This",,Omar El Akkad,,,,,,,,,,,2025,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4249,
Alternative Medicine: The Definitive Guide,,Burton Goldberg Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4250,
Teaching Freedom: Education Under Occupation,,Ali Abunimah,,,,,,,,,,,2015,,,,,,,,,,,,,,Education & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4251,
The Blazing World and Other Writings,,Margaret Cavendish,,,,,,,,,,,1666,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Science Fiction,4252,
"Attachment and Loss, Volume 1: Attachment",,John Bowlby,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4253,
Divan-i Baki,,Baki (Mahmud Abdülbâki),,,,,,,,,,,0,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ottoman Turkish,4254,
Ecofeminism,,"María Mies, Vandana Shiva",,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,4255,
Pan,,Knut Hamsun,,,,,,,,,,,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4256,
Nineteenth-Century American Poetry,,Various,,,,,,,,,,,19,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry Anthology,4257,
The Black Sheep,,Honoré de Balzac,,,,,,,,,,,1842,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4258,
The Gene: An Intimate History,,Siddhartha Mukherjee,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4259,
Education for Inclusive Citizenship in Arab Societies,,Nayla Tabbara,,,,,,,,,,,2018,,,,,,,,,,,,,,"Community Organizing, Civic Action & Democracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,4260,
Beyond Anxiety,,Martha Beck,,,,,,,,,,,2025,,,,,,,,,,,,,,Personal Development & Well-Being,"Positive Psychology & Human Potential,Psychotherapy & Counseling Modalities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4261,
The Brave Learner (pre-release lectures),,Julie Bogart,,,,,,,,,,,2018,,,,,,,,,,,,,,Education & Learning,"Positive Psychology & Human Potential,Developmental & Social Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4262,
Observations upon Experimental Philosophy,,"Margaret Cavendish, Duchess of Newcastle",,,,,,,,,,,1666,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4263,
Accidental Gods,,Manda Scott,,,,,,,,,,,2019,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4264,
The Portable Charles W. Chesnutt,,Various,,,,,,,,,,,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4265,
Understanding Power,,Noam Chomsky,,,,,,,,,,,2002,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4266,
A World Split Apart,,Alexander Solzhenitsyn,,,,,,,,,,,1978,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4267,
The Devil's Mirror (Final Novel),,Rosa María Britton,,,,,,,,,,,2017,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,4268,
Nothing to It,,Brother Phap Hai,,,,,,,,,,,2019,,,,,,,,,,,,,,Personal Development & Well-Being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4269,
The Odyssey,,Homer,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4270,
A Popular Survey of the Old Testament,,Norman L. Geisler,,,,,,,,,,,1977,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4271,
The White Racial Frame,,Joe Feagin,,,,,,,,,,,2013,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4272,
Reassembling the Social,,Bruno Latour,,,,,,,,,,,2005,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4273,
Re-Visioning Psychology,,James Hillman,,,,,,,,,,,1975,,,,,,,,,,,,,,"Consciousness, Mind & Psychology",Depth & Archetypal Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4274,
Patanjali Yoga Sutras,,Swami Vivekananda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4275,
The Meursault Investigation,,Kamel Daoud,,,,,,,,,,,2013,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French/Arabic,4276,
Dasavaikalika Sutra,,Mahavira (Vardhamana),,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Prakrit/Ardhamagadhi,4277,
The Qur'an (Koran),,Pickthall (Marmaduke 1920 translation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4278,
Letters to a Young Muslim,,Omar Saif Ghobash,,,,,,,,,,,2017,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4279,
The City of the Poor,,Gebreyesus Hailu (revived through translation),,,,,,,,,,,2012,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Tigrinya,4280,
The Third Pillar: How Markets and the State Leave the Community Behind,,Raghuram Rajan,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Tamil,4281,
The Nine: Inside the Secret World of the Supreme Court,,Jeffrey Toobin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4282,
Hymns on Paradise,,Ephrem the Syrian,,,,,,,,,,,4,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Verse,4283,
Das Kapital (Capital),,Karl Heinrich Marx,,,,,,,,,,,18671894,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,4284,
Wild Seed,,Octavia E. Butler,,,,,,,,,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4285,
Absolutely Small,,Michael D. Fayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4286,
Beauty (Rev. Edition),,Roger Scruton,,,,,,,,,,,20092025,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4287,
On Liking Women (n+1 essay),,Andrea Long Chu,,,,,,,,,,,2018,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4288,
"Decolonizing Economics in Kenya (essays, blog series)",,Wandia Njoya,,,,,,,,,,,20192023,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4289,
"The Yoga Sūtras of Patañjali: A New Edition, Translation, and Commentary ",,"Patañjali (attributed), translation by Edwin F. Bryant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4290,
Harem Revisited,,Lalla Essaydi,,,,,,,,,,,2012,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic/French,4291,
Hatata (Inquiry),,Zera Yacob,,,,,,,,,,,1667,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ge'ez,4292,
Order Out of Chaos (with Isabelle Stengers),,Ilya Prigogine,,,,,,,,,,,1984,,,,,,,,,,,,,,Systems Thinking & Complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4293,
Surrender Self By Sighting Me: Essays from The Aletheon on Right and True Devotion,,"Franklin Albert Jones (Bubba Free John, Da Free John, Adi Da Samraj)",,,,,,,,,,,2007,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4294,
Selected Letters,,Lady Mary Wortley Montagu,,,,,,,,,,,1709,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4295,
J R,,William Gaddis,,,,,,,,,,,1975,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4296,
Integrative Medicine,,Andrew Weil,,,,,,,,,,,2004,,,,,,,,,,,,,,"Health, Healing & Somatics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4297,
On Human Fraternity (w/ Pope Francis),,Ahmed Al-Tayeb,,,,,,,,,,,2019,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,4298,
Abhidharmasamuccaya (Compendium of Abhidharma),,Asaṅga,,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Transpersonal & Altered States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Sanskrit,4299,
Vendidad (Law Against Demons),,Zoroastrian Priesthood,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Younger Avestan,4300,
Quantum Supremacy,,Michio Kaku,,,,,,,,,,,2025,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4301,
Flatland: A Romance of Many Dimensions,,Edwin A. Abbott,,,,,,,,,,,1884,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4302,
Still Forest Pool,,Ajahn Chah,,,,,,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Thai,4303,
Cynefin: Weaving Sense-Making into the Fabric of Our World,,Dave Snowden,,,,,,,,,,,2021,,,,,,,,,,,,,,Systems Thinking & Complexity,Cognitive & Affective Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4304,
The Complete English Poems,,John Donne,,,,,,,,,,,1590,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry Collection,4305,
Dirty Bird Blues,,Clarence Major,,,,,,,,,,,1996,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4306,
"Fish, Kin, and Hope: Tending to Water Bodies in Indigenous Economics",,Zoe Todd,,,,,,,,,,,20142022,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4307,
"Stuffed and Starved, Value of Nothing",,Raj Patel,,,,,,,,,,,20082011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4308,
Girls Who Defy War: Education in Yemen,,Nawal Al-Maghafi,,,,,,,,,,,2020,,,,,,,,,,,,,,Education & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic / English,4309,
"Creation, Man and Messiah",,Henrik Wergeland,,,,,,,,,,,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Norwegian,4310,
American Sphinx,,Joseph Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4311,
The Fair Trade Scandal: Marketing Poverty to Benefit the Rich,,Ndongo Samba Sylla,,,,,,,,,,,20142022,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4312,
African Cultural Values and Complex Social Systems (Final Work),,Kwame Gyekye,,,,,,,,,,,2018,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Akan,4313,
Room,,Emma Donoghue,,,,,,,,,,,2010,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4314,
Persuasion Tactics,,Patrick King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4315,
The Portable Thoreau,,Carl Bode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4316,
Experimental Studies in Consciousness,,Tang Xiaowei,,,,,,,,,,,2020,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Cognitive & Affective Sciences,Neuroscience of Mind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Chinese,4317,
The Wisdom of James Allen,,James Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4318,
The Case Against Reality,,Donald Hoffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4319,
"Men Are from Mars, Women Are from Venus",,John Gray,,,,,,,,,,,1992,,,,,,,,,,,,,,"Family, Love & Relationships","Developmental & Social Psychology,Positive Psychology & Human Potential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4320,
